,FID,Inception Score,IS std
0,304.14729679759625,1.0087344254117345,0.0
1,337.6436198604241,1.0001259817950132,0.0
2,314.29404310377123,1.010905602144252,0.0
3,355.48447653925746,1.0160747767553304,0.0
4,375.0745648263512,1.0075680562994787,0.0
5,348.74917377585786,1.0123809869357454,0.0
6,363.34260827027543,1.0257108906132846,0.0
7,344.3682767939457,1.0111879479343122,0.0
8,365.932575719176,1.0029903159987819,0.0
9,462.28884666939575,1.0011946239429563,0.0
10,426.7952922366436,1.0022965690782166,0.0
11,340.90886448566965,1.0021217292710956,0.0
12,424.79698156458693,1.0033886069444038,0.0
13,374.32106610296535,1.011131310286644,0.0
14,305.75283000523063,1.0110257141708037,0.0
15,369.57747929935925,1.019349960540961,0.0
16,353.77854648478956,1.0092008138034037,0.0
17,326.6234319386873,1.0167654046549939,0.0
18,349.23351391097003,1.0153443704476184,0.0
19,358.63000971777865,1.0146612922881761,0.0
20,362.06333731086386,1.0251898180243095,0.0
21,367.1743273674561,1.0227738686525099,0.0
22,380.1902364790056,1.0166096909465006,0.0
23,378.31663444927455,1.002141593031038,0.0
24,347.9542332432044,1.0312901312947134,0.0
25,357.61235068397787,1.0121228464710244,0.0
26,382.26624215392263,1.0167584141601753,0.0
27,385.66120309606623,1.0224491975029122,0.0
28,385.1706139902006,1.0365117139401272,0.0
29,372.43736014556936,1.026693725975443,0.0
30,378.1884180814227,1.0180149969131411,0.0
31,405.30905350637846,1.0268170328224522,0.0
32,347.60076532421016,1.0274081677771325,0.0
33,383.21812503152523,1.0243426540366116,0.0
34,366.4094652327885,1.0005811504366133,0.0
35,322.369137331113,1.0008617552311614,0.0
36,389.8129355721874,1.0003625419429127,0.0
37,364.9257024364868,1.0083652847479985,0.0
38,345.8245427822254,1.0110113610581872,0.0
39,341.5108546095109,1.007828723941217,0.0
